text_clean,label,is_aug
"ne répondent jamais téléphone _exclamation_ allé magasin pendant heures ouverture fermés _exclamation_ laissé mot porte, personne a rappelé. gestion vraiment déplorable service client catastrophique _exclamation_",0,False
vraiment trop bruyant entend tout quartier autre côté rue pas normal salle ne pas équipée système insonorisation correct. bref voisinage désespéré.,0,False
_emoji_pas_ok_,0,False
"cette salle sport a ambiance très désagréable cause clientèle peu recommandable. toujours bondée, dehors heures pointe. machines mal agencées certaines restent hors service pendant longues périodes. vestiaires femmes dégagent constamment odeur nauséabonde, rend expérience encore plus pénible.",0,False
nombre inscriptions dépasse loin capacités salles coures prix fixes non négociables,0,False
"vacances marsa mari habitons paris choisi california gym faire sport. expérience a très décevante. dès entrée, coach maigre, lunettes fixait très souvent faisait remarques inutiles, gênant. plus, disques posés manière très mal sécurisée supports. disque 20 kg tombé pied a fracturé orteil. machines vieilles nécessitent toutes ajouter soi poids, rend entraînement peu pratique dangereux. déconseille vivement cette salle toute personne cherche lieu sérieux, moderne sécurisé entraîner.",0,False
fait larguer quand ici,0,False
"machines gym techno, tellement vieux, sale souvent panne. a pas variété machines. douches ne pas propres. rapport prix, ça ne vaut vraiment pas coup.",0,False
"vraiment dommage coachs cette salle si mauvais ignorent plupart gens, sauf prennent cours particuliers. endroit grand bien équipé principalement marque technogym , communication laisse désirer. horaire recommandé : avant 17 h, car a beaucoup monde plus tard. accueil : légèrement amélioré rapport avant vrai bazar . équipements : multitude machines spécialisées chaque groupe musculaire, haltères, appareils cardio, machines câbles poids, etc. salles entraînement : espace cardio musculation, espace rpm, 3 salles cours dont salle crossfit, petit espace entraînement libre. coachs : coachs cours collectifs excellents, ceux salle musculation cardio nuls ne sourcillent pas si quelqu fait mauvais exercice risque blesser arrive pas utiliser machine. dommage, car plupart nouveaux membres comptent faire visiter salle montrer comment utiliser machines. or, coachs ne généralement pas disponibles, sauf séances coaching privées. emplacement parking : centre commercial dispose parking, frais stationnement ne pas inclus abonnement salle sport.",0,False
pourras jamais bénéficier droit sauna . chaque fois nouvelle objection . 21h ferme a 22h ça prendra 30 minutes marche ect ect . bah laisse ouvert donc _exclamation_ devrais réserver sauna quoi _exclamation_ pas ça tête veux just reposer après bonne séance w tjiw etayroulou kifoi aabd _exclamation_,0,False
"malheur inscrire cette salle sport _exclamation_ _exclamation_ douche présence moisissures, énormément abonnés très peu matériel climatisation fuit tête hygiène douteuse ensemble . 220 dt trouve ça vraiment irrespectueux a fuir absolument _exclamation_ _exclamation_ _exclamation_",0,False
"ascenseur toujours panne _exclamation_ piscine sale. sinon, tout va bien.",0,False
nombre machines très limité insuffisant tous membres.,0,False
